,Autocorrelation
1166,0.07672743589442906
1167,0.07111837218303439
1168,0.0733850355426465
1169,0.07246550653758395
1170,0.05694633755479991
1171,0.050557166230527965
1172,0.04588870349991409
1173,0.028454659309532677
1174,0.01849103895462893
1175,0.016272819013167537
1176,0.016618145010607707
1177,0.0034694989100574414
1178,-0.00457022007543356
1179,-0.009609815192610867
1180,-0.027870366082021168
1181,-0.03912176818911105
1182,-0.04101982473281812
1183,-0.041960703997225714
1184,-0.05217948520748038
1185,-0.058441150719343124
1186,-0.06287049789259369
1187,-0.07660318720279917
1188,-0.09069453139461632
1189,-0.09616871794360798
1190,-0.09707134322383817
1191,-0.10691188445851046
1192,-0.11100452607005336
1193,-0.11513160854379015
1194,-0.13158830211010075
1195,-0.1442102782594162
1196,-0.1413978235502018
1197,-0.13912220099377426
1198,-0.14911606949780132
1199,-0.1548554151422979
1200,-0.1630260746335279
1201,-0.18310579564878418
1202,-0.1976444461217931
1203,-0.20026780100167604
1204,-0.20113498026738647
1205,-0.2139049666427163
